P0010001,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0040001,P0040002,P0040003,state_x,county_x,tract_x,block_x,geoid,P0120001,P0120002,P0120003,P0120004,P0120005,P0120006,P0120007,P0120008,P0120009,P0120010,P0120011,P0120012,P0120013,P0120014,P0120015,P0120016,P0120017,P0120018,P0120019,P0120020,P0120021,P0120022,P0120023,P0120024,P0120025,P0120026,P0120027,P0120028,P0120029,P0120030,P0120031,P0120032,P0120033,P0120034,P0120035,P0120036,P0120037,P0120038,P0120039,P0120040,P0120041,P0120042,P0120043,P0120044,P0120045,P0120046,P0120047,P0120048,P0120049,state_y,county_y,tract_y,block_y,H00010001,H0030001,H0030002,H0030003,H0040001,H0040002,H0040003,H0040004,H0050001,H0050002,H0050003,H0050004,H0050005,H0050006,H0050007,H0050008,state,county,tract,block
60,60,7,29,1,9,0,11,3,60,36,24,36,47,200,1000,360470002001000,60,17,0,2,1,1,1,0,0,4,0,0,0,1,0,4,1,1,0,0,0,0,0,1,0,43,0,0,1,0,6,5,9,14,4,0,0,0,2,1,0,0,1,0,0,0,0,0,0,36,47,200,1000,9,9,9,0,9,0,0,9,0,0,0,0,0,0,0,0,36,47,200,1000
0,0,0,0,0,0,0,0,0,0,0,0,36,47,200,1001,360470002001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,200,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,200,1001
0,0,0,0,0,0,0,0,0,0,0,0,36,47,200,1002,360470002001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,200,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,200,1002
58,58,36,2,1,0,0,17,2,58,11,47,36,47,200,1003,360470002001003,58,38,3,2,4,1,3,1,2,3,8,1,3,3,1,2,0,0,0,0,0,1,0,0,0,20,0,2,0,2,0,1,0,1,0,2,3,2,3,1,0,1,2,0,0,0,0,0,0,36,47,200,1003,15,15,15,0,15,0,1,14,0,0,0,0,0,0,0,0,36,47,200,1003
14,14,0,2,0,0,0,12,0,14,2,12,36,47,200,1004,360470002001004,14,10,0,1,0,2,1,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,36,47,200,1004,5,5,5,0,5,0,0,5,0,0,0,0,0,0,0,0,36,47,200,1004
50,50,29,0,0,0,0,21,0,50,8,42,36,47,200,1005,360470002001005,50,29,2,3,1,1,1,1,1,5,3,3,2,3,0,0,3,0,0,0,0,0,0,0,0,21,5,2,2,0,0,0,1,2,2,1,3,1,0,2,0,0,0,0,0,0,0,0,0,36,47,200,1005,10,10,9,1,9,1,0,8,1,0,0,0,0,1,0,0,36,47,200,1005
16,16,4,0,0,12,0,0,0,16,14,2,36,47,200,1006,360470002001006,16,6,0,0,2,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,2,36,47,200,1006,5,5,4,1,4,1,2,1,1,1,0,0,0,0,0,0,36,47,200,1006
0,0,0,0,0,0,0,0,0,0,0,0,36,47,200,1007,360470002001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,200,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,200,1007
133,133,46,1,0,1,0,85,0,133,1,132,36,47,200,1008,360470002001008,133,76,4,12,2,4,0,1,2,8,6,7,8,10,3,2,2,1,2,0,1,1,0,0,0,57,13,2,7,4,0,0,2,4,3,7,5,2,3,0,0,3,0,1,0,1,0,0,0,36,47,200,1008,42,42,32,10,32,4,3,25,10,4,0,0,0,0,0,6,36,47,200,1008
99,99,42,3,0,0,0,54,0,99,10,89,36,47,200,1009,360470002001009,99,54,5,2,0,5,4,0,1,3,9,2,7,4,6,2,2,2,0,0,0,0,0,0,0,45,3,4,4,2,2,2,1,3,3,0,0,9,1,4,2,1,0,1,1,0,0,2,0,36,47,200,1009,24,24,24,0,24,5,5,14,0,0,0,0,0,0,0,0,36,47,200,1009
